,Year,Country,Latitude,Longitude,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Damage_Rating
157,2005,Sweden,58.75,-11.666667,0,0,1,0,2
158,2005,Switzerland,46.220556,8.035555,4,0,0,0,3
159,2005,Turks And Caicos Islands,21.5,-71.516667,4,0,0,0,3
160,2005,Uganda,4.1197230000000005,66.375,13,0,5,0,6
161,2005,Ukraine,50.401944,30.451110999999997,0,0,0,2,1
162,2005,United States,70482.10056800007,-181959.19417100004,550,289,520,8918,3767
163,2005,Unknown,18.516667,-67.93333299999999,1,0,0,0,3
164,2005,Venezuela,71.191667,-469.7841659999999,10,0,0,4,19
165,2006,Argentina,-32.831666999999996,-68.792777,4,0,0,0,3
166,2006,Australia,-177.419722,990.727778,16,6,1,73,22
167,2006,Austria,95.093333,25.821666,2,0,0,3,5
168,2006,Bahamas,45.86666700000001,-149.916666,0,1,6,3,5
169,2006,Bolivia,-15.593333,-68.476667,0,0,0,11,1
170,2006,Brazil,-39.091390000000004,-81.29166599999999,6,0,0,4,5
171,2006,Canada,329.72722200000004,-647.375278,3,0,3,6,15
172,2006,Chile,-45.566666999999995,-72.06666700000001,6,0,0,0,3
173,2006,Colombia,22.094721999999997,-301.98944399999993,8,2,0,0,11
174,2006,Costa Rica,9.956944,-84.13972199999999,2,0,0,0,3
175,2006,Denmark,55.263889,8.137777,1,0,0,0,3
176,2006,Dominican Republic,18.463611,-70.321111,4,0,0,0,3
177,2006,Ecuador,-25.536666,-78.983333,5,9,0,0,3
178,2006,Fiji,-17.65,177.374167,1,0,0,0,3
179,2006,France,271.53416699999997,13.506667999999998,6,3,1,8,16
180,2006,Gambia,13.466667000000001,-16.65,0,0,2,0,3
181,2006,Germany,606.622779,118.199166,8,1,0,13,30
182,2006,Hungary,47.488889,21.615278,0,0,0,6,2
183,2006,India,12.966667,77.55,0,0,0,2,2
184,2006,Italy,133.280278,32.327777000000005,8,2,0,0,9
185,2006,Jamaica,17.933332999999998,-76.81666700000001,0,0,0,4,1
186,2006,Kenya,-1.267778,36.984444,0,0,3,0,3
187,2006,"Korea, Republic Of",37.554167,126.78333300000001,0,0,0,1,2
188,2006,Madagascar,-23.383333,43.728611,6,0,0,0,3
189,2006,Mozambique,-22.033333,35.3,3,0,0,0,2
190,2006,Netherlands,52.46,5.526667,0,0,0,5,0
191,2006,Nigeria,15.579723,10.582778,96,9,0,3,4
192,2006,Northern Mariana Islands,15.123610999999999,145.7475,0,7,0,0,3
193,2006,Norway,61.513889,-5.499444,0,0,0,2,0
194,2006,Russia,53.75,87.2,3,1,0,0,3
195,2006,Spain,259.902502,-44.128890000000006,14,6,2,4,18
196,2006,Sweden,171.648333,41.186666,6,0,0,5,8
197,2006,Switzerland,46.95,7.466667,1,0,0,0,3
198,2006,Tanzania,-13.797777,63.12388899999999,7,4,0,0,6
199,2006,Uganda,0.25,29.916666999999997,3,0,0,0,3
200,2006,Ukraine,49.924723,-36.289722,3,0,0,0,3
201,2006,United States,63048.73168299994,-162432.52193600018,571,273,418,8274,3387
202,2006,Unknown,18.033333,-65.9,2,0,0,0,3
203,2006,Venezuela,14.333333,-138.83333299999998,4,0,0,0,6
204,2007,Angola,-6.266667,14.25,6,0,0,79,3
205,2007,Antarctica,-78.01694499999999,-154.96694499999998,0,0,1,9,2
206,2007,Argentina,-31.711667,-60.81166700000001,0,0,0,8,2
207,2007,Australia,-230.514168,1012.6402780000001,7,3,0,8,14
208,2007,Austria,141.484722,41.135277,2,0,1,1,5
209,2007,Bahamas,129.66389,-388.98916699999995,3,1,0,15,11
210,2007,Brazil,-50.894722,-125.881667,12,2,1,0,9
211,2007,Canada,459.762777,-1008.4600019999999,15,8,0,6,19
212,2007,Chile,-36.143333,-71.826667,0,0,0,1,2
213,2007,Colombia,17.243333,-292.15055499999994,9,4,0,15,8
214,2007,Dominica,15.530278,-61.3,0,0,0,6,2
215,2007,Ecuador,-0.13805499999999998,-76.488333,0,0,0,171,0
216,2007,Fiji,-17.674723,177.557778,3,0,0,0,3
217,2007,France,138.969167,7.76,7,0,0,0,12
218,2007,French Polynesia,-17.533056,-149.833056,20,0,0,0,3
219,2007,Germany,356.366667,58.821943000000005,5,0,4,178,14
220,2007,Greenland,89.218056,-50.001389,0,0,0,27,2
221,2007,Guadeloupe,32.5,-122.76666700000001,0,0,0,4,4
222,2007,Guyana,45.716667,-59.86666700000001,3,2,0,0,3
223,2007,Haiti,37.175833,-144.516945,0,5,7,4,4
224,2007,Indonesia,-3.916667,118.21666699999999,102,0,0,0,3
225,2007,Ireland,105.730278,-18.301111,3,4,3,0,6
226,2007,Italy,175.658333,44.537777999999996,4,0,0,7,9
227,2007,Japan,106.509444,411.49388999999996,5,1,0,0,8
228,2007,Malawi,-10.25,33.716667,6,0,0,0,3
229,2007,Mexico,41.070278,-206.278334,2,0,0,109,5
230,2007,New Zealand,-41.518334,173.870278,0,0,0,19,2
231,2007,Panama,9.269722999999999,-82.516389,2,2,0,0,0
232,2007,Peru,-1.5344440000000001,-75.41722299999999,0,5,0,0,3
233,2007,Russia,167.54416600000002,124.37833400000001,6,4,0,0,8
234,2007,Saudi Arabia,24.633333,-46.716667,0,0,0,2,0
235,2007,St Kitts And Nevis,17.205556,-62.59,0,0,0,4,2
236,2007,Switzerland,188.53305500000002,32.054166,5,2,0,9,10
237,2007,Tanzania,-7.5355550000000004,37.7775,1,1,9,0,3
238,2007,Uganda,0.5,33.274723,2,0,0,0,3
239,2007,Ukraine,50.401389,30.400555999999998,5,0,0,0,2
240,2007,United Kingdom,216.39749999999998,-2.7036119999999997,6,0,0,7,6
241,2007,United States,68935.94085599994,-178143.1119330003,531,284,482,8726,3620
242,2007,Unknown,94.440279,-189.78083400000003,5,0,0,9,6
243,2007,Venezuela,56.997779,-395.055279,8,0,3,1,15
244,2008,Angola,-12.768334,15.905,13,0,0,0,3
245,2008,Argentina,-69.853333,-118.682221,2,0,0,2,4
246,2008,Australia,-247.03611099999998,1305.1602780000003,7,23,3,307,13
247,2008,Austria,142.616945,45.428334,7,0,0,0,8
248,2008,Bahamas,26.681666999999997,-79.043611,2,0,0,0,2
249,2008,Brazil,-100.48722099999999,-284.0625,13,4,2,8,14
250,2008,Canada,255.99416699999998,-574.7313889999999,10,5,21,77,10
251,2008,Chile,-244.14138900000003,-498.88999900000005,26,20,1,0,17
252,2008,Colombia,25.018613000000002,-297.015,7,6,3,5,8
253,2008,Congo,-2.2166669999999997,28.715278,17,0,0,0,3
254,2008,Ecuador,-1.8211110000000001,-237.05027700000002,0,3,63,2,6
255,2008,Estonia,58.413889000000005,24.471945,1,0,0,0,2
256,2008,Federated States Of Micronesia,6.985,-158.208333,0,0,0,5,2
257,2008,Finland,127.214167,47.763611,3,0,0,25,3
258,2008,France,291.251666,9.081109999999999,11,2,0,3,12
259,2008,Germany,205.78889,36.334722,6,1,2,0,11
260,2008,Greece,37.916667,23.833333,0,0,2,0,3
261,2008,Guatemala,14.9375,-89.81222199999999,11,3,0,0,3
262,2008,Guyana,60.5,-58.25,3,0,0,0,0
263,2008,Honduras,29.411389,-174.34389,5,1,8,126,2
264,2008,Iceland,63.771111,-24.564444,1,0,0,0,2
265,2008,Italy,311.97388700000005,-25.865275999999998,7,1,2,5,14
266,2008,Japan,26.5,127.83333300000001,0,1,0,3,2
267,2008,Kyrgyzstan,43.073611,74.363056,65,0,25,0,3
268,2008,Mexico,194.21,-827.7041690000001,11,3,4,405,18
269,2008,Namibia,-22.611667,17.081667000000003,6,0,0,0,3
270,2008,Nigeria,5.0152779999999995,6.949444000000001,0,0,1,46,1
271,2008,Panama,8.965556,-79.54,11,1,0,0,3
272,2008,Papua New Guinea,-7.0,142.0,1,0,0,0,2
273,2008,Paraguay,-25.239722,-57.519167,5,0,0,0,3
274,2008,Peru,-24.1525,-445.88750200000004,20,1,1,17,15
275,2008,Russia,58.783333,73.351111,2,0,0,0,3
276,2008,Solomon Islands,-9.243889,154.845277,1,1,0,0,3
277,2008,South Africa,-26.238889,28.150555999999998,2,0,0,0,3
278,2008,Spain,39.592777000000005,2.701667,3,0,0,0,2
279,2008,Switzerland,47.366667,8.533333,2,2,0,0,3
280,2008,Turks And Caicos Islands,21.588889,-72.541944,12,0,0,0,3
281,2008,United Arab Emirates,25.350278,54.483610999999996,7,0,0,0,2
282,2008,United Kingdom,51.364722,0.06666699999999999,5,0,0,0,3
283,2008,United States,65105.70532700007,-167370.090021,538,261,541,7431,3380
284,2008,Venezuela,19.5925,-131.803055,11,0,0,0,6
285,2009,American Samoa,-14.331667000000001,-170.711389,0,0,0,1,2
286,2009,Argentina,-34.626111,-52.639444,0,1,0,231,0
287,2009,Australia,-119.68333300000002,535.366667,3,2,0,0,7
288,2009,Bahamas,71.440556,-228.80638799999997,3,0,11,1,7
289,2009,Belarus,53.835832999999994,28.097777,5,0,0,0,3
290,2009,Bolivia,-34.134722,-125.645,9,0,0,0,6
291,2009,Brazil,-92.080833,-358.976947,42,2,4,5,16
292,2009,Canada,299.187499,-519.091111,5,5,0,216,10
293,2009,Colombia,1.8516669999999997,-76.05166700000001,1,1,0,0,2
294,2009,Comoros,-11.536389,43.271389,152,1,0,0,3
295,2009,Congo,-6.733056,48.115556,7,0,0,0,5
